epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.7371,1.07668,0.75325,1,0.60151,0.000363072,0.000363072,0.000363072
2,92.738,0.58343,0.8355,1,0.43187,0.000726145,0.000726145,0.000726145
3,137.853,0.44109,0.84848,1,0.54057,0.00108188,0.00108188,0.00108188
4,182.436,0.35428,0.86147,1,0.43826,0.001078,0.001078,0.001078
5,227.084,0.32199,0.86147,1,0.48695,0.001067,0.001067,0.001067
6,271.878,0.29396,0.89177,1,0.30869,0.00105601,0.00105601,0.00105601
7,317.556,0.26352,0.89177,1,0.34444,0.00104501,0.00104501,0.00104501
8,365.062,0.23474,0.88745,1,0.54216,0.00103401,0.00103401,0.00103401
9,413.335,0.21224,0.87879,1,0.414,0.00102301,0.00102301,0.00102301
10,461.612,0.18114,0.89177,1,0.43254,0.00101201,0.00101201,0.00101201
11,511.098,0.20025,0.90476,1,0.5955,0.00100101,0.00100101,0.00100101
12,563.324,0.18531,0.8658,1,0.57869,0.000990012,0.000990012,0.000990012
13,618.971,0.17811,0.87013,1,0.43199,0.000979013,0.000979013,0.000979013
14,670.969,0.13231,0.87879,1,0.37815,0.000968014,0.000968014,0.000968014
15,723.739,0.14288,0.89177,1,0.59641,0.000957015,0.000957015,0.000957015
16,776.71,0.10989,0.90043,1,0.4129,0.000946016,0.000946016,0.000946016
17,827.726,0.14496,0.88312,1,0.60485,0.000935018,0.000935018,0.000935018
18,879.024,0.10941,0.8961,1,0.48792,0.000924019,0.000924019,0.000924019
19,934.176,0.12803,0.87013,1,0.42917,0.00091302,0.00091302,0.00091302
20,988.939,0.10379,0.87879,1,0.65403,0.000902021,0.000902021,0.000902021
21,1041.94,0.12294,0.87446,1,0.48959,0.000891022,0.000891022,0.000891022
22,1092.58,0.11832,0.89177,1,0.26779,0.000880023,0.000880023,0.000880023
23,1143.13,0.10253,0.88745,1,0.4534,0.000869024,0.000869024,0.000869024
24,1193.78,0.08266,0.88312,1,0.34308,0.000858025,0.000858025,0.000858025
25,1246.5,0.08805,0.90476,1,0.56392,0.000847026,0.000847026,0.000847026
26,1299.78,0.10582,0.8961,1,0.40287,0.000836027,0.000836027,0.000836027
27,1352.71,0.09547,0.88745,1,0.6489,0.000825029,0.000825029,0.000825029
28,1405.81,0.07335,0.8961,1,0.39952,0.00081403,0.00081403,0.00081403
29,1459.81,0.08756,0.90043,1,0.45367,0.000803031,0.000803031,0.000803031
30,1514.7,0.06699,0.90043,1,0.49005,0.000792032,0.000792032,0.000792032
31,1573.83,0.0756,0.88312,1,0.4993,0.000781033,0.000781033,0.000781033
